NU_ANO_CENSO;NO_REGIAO_IES;CO_REGIAO_IES;NO_UF_IES;SG_UF_IES;CO_UF_IES;NO_MUNICIPIO_IES;CO_MUNICIPIO_IES;IN_CAPITAL_IES;NO_MESORREGIAO_IES;CO_MESORREGIAO_IES;NO_MICRORREGIAO_IES;CO_MICRORREGIAO_IES;TP_ORGANIZACAO_ACADEMICA;TP_CATEGORIA_ADMINISTRATIVA;NO_MANTENEDORA;CO_MANTENEDORA;CO_IES;NO_IES;SG_IES;DS_ENDERECO_IES;DS_NUMERO_ENDERECO_IES;DS_COMPLEMENTO_ENDERECO_IES;NO_BAIRRO_IES;NU_CEP_IES;QT_TEC_TOTAL;QT_TEC_FUNDAMENTAL_INCOMP_FEM;QT_TEC_FUNDAMENTAL_INCOMP_MASC;QT_TEC_FUNDAMENTAL_COMP_FEM;QT_TEC_FUNDAMENTAL_COMP_MASC;QT_TEC_MEDIO_FEM;QT_TEC_MEDIO_MASC;QT_TEC_SUPERIOR_FEM;QT_TEC_SUPERIOR_MASC;QT_TEC_ESPECIALIZACAO_FEM;QT_TEC_ESPECIALIZACAO_MASC;QT_TEC_MESTRADO_FEM;QT_TEC_MESTRADO_MASC;QT_TEC_DOUTORADO_FEM;QT_TEC_DOUTORADO_MASC;IN_ACESSO_PORTAL_CAPES;IN_ACESSO_OUTRAS_BASES;IN_ASSINA_OUTRA_BASE;IN_REPOSITORIO_INSTITUCIONAL;IN_BUSCA_INTEGRADA;IN_SERVICO_INTERNET;IN_PARTICIPA_REDE_SOCIAL;IN_CATALOGO_ONLINE;QT_PERIODICO_ELETRONICO;QT_LIVRO_ELETRONICO;QT_DOC_TOTAL;QT_DOC_EXE;QT_DOC_EX_FEMI;QT_DOC_EX_MASC;QT_DOC_EX_SEM_GRAD;QT_DOC_EX_GRAD;QT_DOC_EX_ESP;QT_DOC_EX_MEST;QT_DOC_EX_DOUT;QT_DOC_EX_INT;QT_DOC_EX_INT_DE;QT_DOC_EX_INT_SEM_DE;QT_DOC_EX_PARC;QT_DOC_EX_HOR;QT_DOC_EX_0_29;QT_DOC_EX_30_34;QT_DOC_EX_35_39;QT_DOC_EX_40_44;QT_DOC_EX_45_49;QT_DOC_EX_50_54;QT_DOC_EX_55_59;QT_DOC_EX_60_MAIS;QT_DOC_EX_BRANCA;QT_DOC_EX_PRETA;QT_DOC_EX_PARDA;QT_DOC_EX_AMARELA;QT_DOC_EX_INDIGENA;QT_DOC_EX_COR_ND;QT_DOC_EX_BRA;QT_DOC_EX_EST;QT_DOC_EX_COM_DEFICIENCIA;CO_PROJETO;CO_LOCAL_OFERTA;NO_LOCAL_OFERTA
2021;Centro-Oeste;5;Mato Grosso;MT;51;Cuiabá;5103403;1;Centro-Sul Mato-grossense;4;Cuiabá;17;1;1;FUNDACAO UNIVERSIDADE FEDERAL DE MATO GROSSO;1;1;UNIVERSIDADE FEDERAL DE MATO GROSSO;UFMT;Avenida Fernando Correa da Costa;2367;Cidade Universitária;Boa Esperança;78060900;1344;4;15;5;14;49;93;112;136;306;295;158;96;34;27;1;0;1;1;1;1;1;1;0;0;1718;1628;801;827;0;50;76;263;1239;1571;1275;296;57;0;58;214;310;335;242;160;137;172;1000;72;390;48;5;113;1593;35;6;2111801;105340;Campus Universitário de Cuiabá
2021;Centro-Oeste;5;Distrito Federal;DF;53;Brasília;5300108;1;Distrito Federal;1;Brasília;1;1;1;FUNDACAO UNIVERSIDADE DE BRASILIA;2;2;UNIVERSIDADE DE BRASÍLIA;UNB;Campus Universitário Darcy Ribeiro;s/n;-;Asa Norte;70910900;3081;0;0;6;30;64;132;349;263;785;702;263;349;81;57;1;0;1;1;0;1;1;1;12438;493150;2942;2639;1174;1465;0;2;21;237;2379;2475;2255;220;164;0;38;160;323;474;431;359;375;479;1670;82;416;57;8;406;2496;143;10;2111801;4229;Campus Universitário Darcy Ribeiro
2021;Nordeste;2;Sergipe;SE;28;São Cristóvão;2806701;0;Leste Sergipano;3;Aracaju;11;1;1;FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE;3;3;UNIVERSIDADE FEDERAL DE SERGIPE;UFS;Avenida Marechal Rondon;s/n;-;Jardim Rosa Elze;49100000;956;0;0;1;0;146;109;171;151;137;89;83;51;13;5;1;0;1;1;1;1;1;1;40534;316939;1833;1777;851;926;0;113;0;272;1392;1569;1404;165;208;0;57;163;317;354;289;233;191;173;172;35;269;9;2;1290;1747;30;4;2111801;1006435;Unidade SEDE
2021;Norte;1;Amazonas;AM;13;Manaus;1302603;1;Centro Amazonense;3;Manaus;7;1;1;FUNDACAO UNIVERSIDADE DO AMAZONAS;4;4;UNIVERSIDADE FEDERAL DO AMAZONAS;UFAM;Av. Rodrigo Otávio;6200;Campus Universitário;Coroado II;69077000;1862;6;6;3;13;120;152;317;282;409;263;140;101;27;23;1;0;1;1;1;1;1;1;40191;3683;1981;1824;822;1002;0;111;141;436;1136;1730;1349;381;94;0;93;200;307;317;255;228;221;203;113;16;125;6;4;1560;1821;3;2;2111801;1036292;Unidade Sede
2021;Nordeste;2;Piauí;PI;22;Teresina;2211001;1;Centro-Norte Piauiense;2;Teresina;3;1;1;FUNDACAO UNIVERSIDADE FEDERAL DO PIAUI;14054;5;UNIVERSIDADE FEDERAL DO PIAUÍ;UFPI;Campus Universitário Ministro Petrônio Portela;s/n;SG - 07;Ininga;64049550;1041;3;18;2;20;26;77;90;111;229;206;120;83;26;30;1;0;0;1;0;1;1;1;0;0;1577;1470;709;761;0;0;76;286;1108;1372;1182;190;98;0;27;156;280;286;197;149;149;226;110;42;204;0;2;1112;1470;0;0;2111801;102559;CAMPUS MINISTRO PETRÔNIO PORTELLA - Unidade SEDE
2021;Sudeste;3;Minas Gerais;MG;31;Ouro Preto;3146107;0;Metropolitana de Belo Horizonte;7;Ouro Preto;33;1;1;UNIVERSIDADE FEDERAL DE OURO PRETO;6;6;UNIVERSIDADE FEDERAL DE OURO PRETO;UFOP;Rua Diogo de Vasconcelos;122;-;Centro;35400000;715;4;23;3;14;23;56;42;84;93;121;115;88;29;20;1;0;1;1;0;0;0;1;0;28762;928;846;332;514;0;2;16;82;746;839;790;49;7;0;3;67;194;199;117;97;93;76;402;25;146;4;1;268;844;2;3;2111801;664;Reitoria
2021;Sudeste;3;São Paulo;SP;35;São Carlos;3548906;0;Araraquara;5;São Carlos;25;1;1;FUNDACAO UNIVERSIDADE FEDERAL DE SAO CARLOS;1302;7;UNIVERSIDADE FEDERAL DE SÃO CARLOS;UFSCAR;Via Washington  Luis;Km 235;S/Nº;Monjolinho;13565905;968;17;22;9;12;9;48;79;106;164;152;139;103;61;47;1;0;0;1;0;1;1;1;23596;20419;1339;1339;602;737;0;1;3;50;1285;1284;1258;26;55;0;3;60;199;282;212;197;172;214;767;13;69;27;2;461;1310;29;8;2111801;1006610;Unidade SEDE
2021;Sudeste;3;Minas Gerais;MG;31;Viçosa;3171303;0;Zona da Mata;12;Viçosa;62;1;1;UNIVERSIDADE FEDERAL DE VICOSA;15588;8;UNIVERSIDADE FEDERAL DE VIÇOSA;UFV;Av. P.H. Rolfs;s/n;Campus Universitário;Campus Universitário;36570000;2001;7;111;1;29;23;307;73;160;319;492;185;178;69;47;1;0;1;1;0;1;0;1;0;79733;1292;1292;518;774;0;17;24;128;1123;1251;1159;92;41;0;32;130;238;285;154;122;176;155;398;24;96;4;0;770;1267;25;0;2111801;1005394;Universidade Federal de Viçosa
2021;Sul;4;Paraná;PR;41;Londrina;4113700;0;Norte Central Paranaense;3;Londrina;11;1;2;SECRET DE EST CIENCIA TECNOLOGIA E ENSINO SUPERIOR SETI;37;9;UNIVERSIDADE ESTADUAL DE LONDRINA;UEL;Rodovia Celso Garcia Cid Pr 445 Km 380;-;UEL - CAMPUS UNIVERSITÁRIO;Campus Universitário;86057970;756;0;5;1;5;57;68;149;169;124;86;29;39;8;16;1;0;1;1;0;1;1;1;0;2568;1820;1792;932;860;0;17;65;359;1351;1325;970;355;462;5;48;185;266;272;244;267;262;248;1458;24;132;87;2;89;1775;17;55;2111801;657675;UEL - CAMPUS UNIVERSITÁRIO
2021;Sul;4;Paraná;PR;41;Curitiba;4106902;1;Metropolitana de Curitiba;10;Curitiba;37;1;5;ASSOCIACAO PARANAENSE DE CULTURA - APC;10;10;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ;PUCPR;Rua Imaculada Conceição;1155;-;Prado Velho;80215901;1548;0;0;45;41;276;204;410;194;157;99;30;28;30;34;1;0;1;1;0;1;1;1;55040;25036;1349;1349;575;774;0;1;59;582;707;448;0;448;655;246;31;120;191;229;229;212;151;186;680;15;40;28;1;585;1343;6;11;2111801;657676;PUCPR - Campus Curitiba
